record_key,programa,anio,mes,recolector,municipio_origen,zona_codigo,material,cantidad,pagado_unit_gtq,precio_vendido_unit_gtq,gtq_total_pagados,ingreso_total_venta,ingreso_cooperativa,source_sheet,source_row
Cooperativa Atitlán Recicla|ENE|LL - Jaibalito|PET transparente|5,Cooperativa Atitlán Recicla,2026,ENE,Lideresas,LL - Jaibalito,LL,PET transparente,0.95,40,40,38,38,0,Compras,5
Cooperativa Atitlán Recicla|ENE|LL - Jaibalito|PET celeste|6,Cooperativa Atitlán Recicla,2026,ENE,Lideresas,LL - Jaibalito,LL,PET celeste,0.2,20,20,4,4,0,Compras,6
Cooperativa Atitlán Recicla|ENE|LL - Jaibalito|PET verde|7,Cooperativa Atitlán Recicla,2026,ENE,Lideresas,LL - Jaibalito,LL,PET verde,0.11,15,15,1.65,1.65,0,Compras,7
Cooperativa Atitlán Recicla|ENE|LL - Jaibalito|Chatarra 2da. |8,Cooperativa Atitlán Recicla,2026,ENE,Lideresas,LL - Jaibalito,LL,Chatarra 2da. ,11.15,20,20,223,223,0,Compras,8
Cooperativa Atitlán Recicla|ENE|LL - Jaibalito|Cartón |9,Cooperativa Atitlán Recicla,2026,ENE,Lideresas,LL - Jaibalito,LL,Cartón ,0.45,10,10,4.5,4.5,0,Compras,9
Cooperativa Atitlán Recicla|ENE|LL - Jaibalito|Quintal vidrio mixto|10,Cooperativa Atitlán Recicla,2026,ENE,Lideresas,LL - Jaibalito,LL,Quintal vidrio mixto,3.55,22,22,78.1,78.1,0,Compras,10
Cooperativa Atitlán Recicla|ENE|LL - Jaibalito|Quintal vidrio VER|11,Cooperativa Atitlán Recicla,2026,ENE,Lideresas,LL - Jaibalito,LL,Quintal vidrio VER,1.4,10,10,14,14,0,Compras,11
Cooperativa Atitlán Recicla|ENE|LL - Santa Cruz la Laguna|PET transparente|12,Cooperativa Atitlán Recicla,2026,ENE,Lideresas,LL - Santa Cruz la Laguna,LL,PET transparente,0.7,40,40,28,28,0,Compras,12
Cooperativa Atitlán Recicla|ENE|LL - Santa Cruz la Laguna|PET celeste|13,Cooperativa Atitlán Recicla,2026,ENE,Lideresas,LL - Santa Cruz la Laguna,LL,PET celeste,0.16,20,20,3.2,3.2,0,Compras,13
Cooperativa Atitlán Recicla|ENE|LL - Santa Cruz la Laguna|PET verde|14,Cooperativa Atitlán Recicla,2026,ENE,Lideresas,LL - Santa Cruz la Laguna,LL,PET verde,0.16,15,15,2.4,2.4,0,Compras,14
Cooperativa Atitlán Recicla|ENE|LL - Santa Cruz la Laguna|Galones de aceite |15,Cooperativa Atitlán Recicla,2026,ENE,Lideresas,LL - Santa Cruz la Laguna,LL,Galones de aceite ,0.03,20,20,0.6,0.6,0,Compras,15
Cooperativa Atitlán Recicla|ENE|LL - Santa Cruz la Laguna|Plástico soplado (PEAD)|16,Cooperativa Atitlán Recicla,2026,ENE,Lideresas,LL - Santa Cruz la Laguna,LL,Plástico soplado (PEAD),0.35,35,35,12.25,12.25,0,Compras,16
Cooperativa Atitlán Recicla|ENE|LL - Santa Cruz la Laguna|Cartón |17,Cooperativa Atitlán Recicla,2026,ENE,Lideresas,LL - Santa Cruz la Laguna,LL,Cartón ,5.28,10,10,52.800000000000004,52.800000000000004,0,Compras,17
Cooperativa Atitlán Recicla|ENE|LL - Santa Cruz la Laguna|Quintal vidrio mixto|18,Cooperativa Atitlán Recicla,2026,ENE,Lideresas,LL - Santa Cruz la Laguna,LL,Quintal vidrio mixto,19.23,22,22,423.06,423.06,0,Compras,18
Cooperativa Atitlán Recicla|ENE|LL - Santa Cruz la Laguna|Quintal vidrio VER|19,Cooperativa Atitlán Recicla,2026,ENE,Lideresas,LL - Santa Cruz la Laguna,LL,Quintal vidrio VER,11.39,10,10,113.9,113.9,0,Compras,19
Cooperativa Atitlán Recicla|ENE|LL - Tzununá|PET transparente|20,Cooperativa Atitlán Recicla,2026,ENE,Lideresas,LL - Tzununá,LL,PET transparente,3.94,50,50,197,197,0,Compras,20
Cooperativa Atitlán Recicla|ENE|LL - Tzununá|PET celeste|21,Cooperativa Atitlán Recicla,2026,ENE,Lideresas,LL - Tzununá,LL,PET celeste,0.65,15,15,9.75,9.75,0,Compras,21
Cooperativa Atitlán Recicla|ENE|LL - Tzununá|PET verde|22,Cooperativa Atitlán Recicla,2026,ENE,Lideresas,LL - Tzununá,LL,PET verde,1.05,15,15,15.75,15.75,0,Compras,22
Cooperativa Atitlán Recicla|ENE|LL - Tzununá|Galones de aceite |23,Cooperativa Atitlán Recicla,2026,ENE,Lideresas,LL - Tzununá,LL,Galones de aceite ,0.73,15,15,10.95,10.95,0,Compras,23
Cooperativa Atitlán Recicla|ENE|LL - Tzununá|Plástico duro (PP)|24,Cooperativa Atitlán Recicla,2026,ENE,Lideresas,LL - Tzununá,LL,Plástico duro (PP),0.34,25,25,8.5,8.5,0,Compras,24
Cooperativa Atitlán Recicla|ENE|LL - Tzununá|Plástico soplado (PEAD)|25,Cooperativa Atitlán Recicla,2026,ENE,Lideresas,LL - Tzununá,LL,Plástico soplado (PEAD),1.67,30,30,50.099999999999994,50.099999999999994,0,Compras,25
Cooperativa Atitlán Recicla|ENE|LL - Tzununá|Cartón |26,Cooperativa Atitlán Recicla,2026,ENE,Lideresas,LL - Tzununá,LL,Cartón ,16.27,10,10,162.7,162.7,0,Compras,26
Cooperativa Atitlán Recicla|ENE|LL - Tzununá|Papel mixto |27,Cooperativa Atitlán Recicla,2026,ENE,Lideresas,LL - Tzununá,LL,Papel mixto ,0.29,20,20,5.8,5.8,0,Compras,27
Cooperativa Atitlán Recicla|ENE|LL - Tzununá|Quintal vidrio TR|28,Cooperativa Atitlán Recicla,2026,ENE,Lideresas,LL - Tzununá,LL,Quintal vidrio TR,52.15,21,21,1095.1499999999999,1095.1499999999999,0,Compras,28
Cooperativa Atitlán Recicla|ENE|LL - Tzununá|Quintal vidrio AM|29,Cooperativa Atitlán Recicla,2026,ENE,Lideresas,LL - Tzununá,LL,Quintal vidrio AM,2.95,20,20,59,59,0,Compras,29
Cooperativa Atitlán Recicla|ENE|LL - Tzununá|Quintal vidrio sucio|30,Cooperativa Atitlán Recicla,2026,ENE,Lideresas,LL - Tzununá,LL,Quintal vidrio sucio,0.42,12,12,5.04,5.04,0,Compras,30
Cooperativa Atitlán Recicla|ENE|LL - Tzununá|Botella Vino y Ron Limpia|31,Cooperativa Atitlán Recicla,2026,ENE,Lideresas,LL - Tzununá,LL,Botella Vino y Ron Limpia,176,0.45,1.25,79.2,220,140.8,Compras,31
Cooperativa Atitlán Recicla|ENE|LL - Tzununá|Botella Modelo Limpia|32,Cooperativa Atitlán Recicla,2026,ENE,Lideresas,LL - Tzununá,LL,Botella Modelo Limpia,454,0.45,0.95,204.3,431.29999999999995,226.99999999999994,Compras,32
Cooperativa Atitlán Recicla|ENE|LL - San Juan la Laguna|PET transparente|33,Cooperativa Atitlán Recicla,2026,ENE,Lideresas,LL - San Juan la Laguna,LL,PET transparente,0.4,50,50,20,20,0,Compras,33
Cooperativa Atitlán Recicla|ENE|LL - San Juan la Laguna|PET celeste|34,Cooperativa Atitlán Recicla,2026,ENE,Lideresas,LL - San Juan la Laguna,LL,PET celeste,0.14,15,15,2.1,2.1,0,Compras,34
Cooperativa Atitlán Recicla|ENE|LL - San Juan la Laguna|PET verde|35,Cooperativa Atitlán Recicla,2026,ENE,Lideresas,LL - San Juan la Laguna,LL,PET verde,0.02,15,15,0.3,0.3,0,Compras,35
Cooperativa Atitlán Recicla|ENE|LL - San Juan la Laguna|Plástico duro (PP)|36,Cooperativa Atitlán Recicla,2026,ENE,Lideresas,LL - San Juan la Laguna,LL,Plástico duro (PP),0.37,25,25,9.25,9.25,0,Compras,36
Cooperativa Atitlán Recicla|ENE|LL - San Juan la Laguna|Plástico soplado (PEAD)|37,Cooperativa Atitlán Recicla,2026,ENE,Lideresas,LL - San Juan la Laguna,LL,Plástico soplado (PEAD),0.51,30,30,15.3,15.3,0,Compras,37
Cooperativa Atitlán Recicla|ENE|LL - San Juan la Laguna|Chatarra 2da. |38,Cooperativa Atitlán Recicla,2026,ENE,Lideresas,LL - San Juan la Laguna,LL,Chatarra 2da. ,3.75,20,20,75,75,0,Compras,38
Cooperativa Atitlán Recicla|ENE|LL - San Juan la Laguna|Aluminio latas|39,Cooperativa Atitlán Recicla,2026,ENE,Lideresas,LL - San Juan la Laguna,LL,Aluminio latas,0.16,300,300,48,48,0,Compras,39
Cooperativa Atitlán Recicla|ENE|LL - San Juan la Laguna|Cartón |40,Cooperativa Atitlán Recicla,2026,ENE,Lideresas,LL - San Juan la Laguna,LL,Cartón ,21.55,10,10,215.5,215.5,0,Compras,40
Cooperativa Atitlán Recicla|ENE|LL - San Juan la Laguna|Papel mixto |41,Cooperativa Atitlán Recicla,2026,ENE,Lideresas,LL - San Juan la Laguna,LL,Papel mixto ,2.58,20,20,51.6,51.6,0,Compras,41
Cooperativa Atitlán Recicla|ENE|LL - San Juan la Laguna|Quintal vidrio TR|42,Cooperativa Atitlán Recicla,2026,ENE,Lideresas,LL - San Juan la Laguna,LL,Quintal vidrio TR,44.23,21,21,928.8299999999999,928.8299999999999,0,Compras,42
Cooperativa Atitlán Recicla|ENE|LL - San Juan la Laguna|Quintal vidrio AM|43,Cooperativa Atitlán Recicla,2026,ENE,Lideresas,LL - San Juan la Laguna,LL,Quintal vidrio AM,4.03,20,20,80.60000000000001,80.60000000000001,0,Compras,43
Cooperativa Atitlán Recicla|ENE|LL - San Juan la Laguna|Quintal vidrio sucio|44,Cooperativa Atitlán Recicla,2026,ENE,Lideresas,LL - San Juan la Laguna,LL,Quintal vidrio sucio,0.72,12,12,8.64,8.64,0,Compras,44
Cooperativa Atitlán Recicla|ENE|LL - San Marcos la Laguna|PET transparente|45,Cooperativa Atitlán Recicla,2026,ENE,Municipalidad,LL - San Marcos la Laguna,LL,PET transparente,5.2,25,50,130,260,130,Compras,45
Cooperativa Atitlán Recicla|ENE|LL - San Marcos la Laguna|PET celeste|46,Cooperativa Atitlán Recicla,2026,ENE,Municipalidad,LL - San Marcos la Laguna,LL,PET celeste,2.86,15,15,42.9,42.9,0,Compras,46
Cooperativa Atitlán Recicla|ENE|LL - San Marcos la Laguna|PET verde|47,Cooperativa Atitlán Recicla,2026,ENE,Municipalidad,LL - San Marcos la Laguna,LL,PET verde,0.25,10,15,2.5,3.75,1.25,Compras,47
Cooperativa Atitlán Recicla|ENE|LL - San Marcos la Laguna|Plástico duro (PP)|48,Cooperativa Atitlán Recicla,2026,ENE,Municipalidad,LL - San Marcos la Laguna,LL,Plástico duro (PP),1.05,25,25,26.25,26.25,0,Compras,48
Cooperativa Atitlán Recicla|ENE|LL - San Marcos la Laguna|Plástico soplado (PEAD)|49,Cooperativa Atitlán Recicla,2026,ENE,Municipalidad,LL - San Marcos la Laguna,LL,Plástico soplado (PEAD),1.25,30,30,37.5,37.5,0,Compras,49
Cooperativa Atitlán Recicla|ENE|LL - San Marcos la Laguna|Cartón |50,Cooperativa Atitlán Recicla,2026,ENE,Municipalidad,LL - San Marcos la Laguna,LL,Cartón ,6.15,10,10,61.5,61.5,0,Compras,50
Cooperativa Atitlán Recicla|ENE|LL - San Marcos la Laguna|Papel mixto |51,Cooperativa Atitlán Recicla,2026,ENE,Municipalidad,LL - San Marcos la Laguna,LL,Papel mixto ,0.45,20,20,9,9,0,Compras,51
Cooperativa Atitlán Recicla|ENE|LL - San Marcos la Laguna|Quintal vidrio TR|52,Cooperativa Atitlán Recicla,2026,ENE,Municipalidad,LL - San Marcos la Laguna,LL,Quintal vidrio TR,15.45,17,21,262.65,324.45,61.80000000000001,Compras,52
Cooperativa Atitlán Recicla|ENE|LL - San Marcos la Laguna|Quintal vidrio AM|53,Cooperativa Atitlán Recicla,2026,ENE,Municipalidad,LL - San Marcos la Laguna,LL,Quintal vidrio AM,5.35,15,20,80.25,107,26.75,Compras,53
Cooperativa Atitlán Recicla|ENE|LL - San Marcos la Laguna|Quintal vidrio sucio|54,Cooperativa Atitlán Recicla,2026,ENE,Municipalidad,LL - San Marcos la Laguna,LL,Quintal vidrio sucio,2.1,10,12,21,25.200000000000003,4.200000000000003,Compras,54
Cooperativa Atitlán Recicla|ENE|K - Sololá|PET transparente|55,Cooperativa Atitlán Recicla,2026,ENE,Lideresas,K - Sololá,K,PET transparente,3.89,40,40,155.6,155.6,0,Compras,55
Cooperativa Atitlán Recicla|ENE|K - Sololá|PET celeste|56,Cooperativa Atitlán Recicla,2026,ENE,Lideresas,K - Sololá,K,PET celeste,1.07,20,20,21.400000000000002,21.400000000000002,0,Compras,56
Cooperativa Atitlán Recicla|ENE|K - Sololá|Plástico duro (PP)|57,Cooperativa Atitlán Recicla,2026,ENE,Lideresas,K - Sololá,K,Plástico duro (PP),9.79,35,35,342.65,342.65,0,Compras,57
Cooperativa Atitlán Recicla|ENE|K - Sololá|Plástico soplado (PEAD)|58,Cooperativa Atitlán Recicla,2026,ENE,Lideresas,K - Sololá,K,Plástico soplado (PEAD),3.59,35,35,125.64999999999999,125.64999999999999,0,Compras,58
Cooperativa Atitlán Recicla|ENE|K - Sololá|Galones de aceite |59,Cooperativa Atitlán Recicla,2026,ENE,Lideresas,K - Sololá,K,Galones de aceite ,0.47,20,20,9.399999999999999,9.399999999999999,0,Compras,59
Cooperativa Atitlán Recicla|ENE|K - Sololá|Chatarra 2da. |60,Cooperativa Atitlán Recicla,2026,ENE,Lideresas,K - Sololá,K,Chatarra 2da. ,5.59,20,20,111.8,111.8,0,Compras,60
Cooperativa Atitlán Recicla|ENE|K - Sololá|Aluminio latas|61,Cooperativa Atitlán Recicla,2026,ENE,Lideresas,K - Sololá,K,Aluminio latas,0.48,370,400,177.6,192,14.400000000000006,Compras,61
Cooperativa Atitlán Recicla|ENE|K - Sololá|Cartón |62,Cooperativa Atitlán Recicla,2026,ENE,Lideresas,K - Sololá,K,Cartón ,31.35,10,10,313.5,313.5,0,Compras,62
Cooperativa Atitlán Recicla|ENE|K - Sololá|cartoncillo|63,Cooperativa Atitlán Recicla,2026,ENE,Lideresas,K - Sololá,K,cartoncillo,24.16,5,5,120.8,120.8,0,Compras,63
Cooperativa Atitlán Recicla|ENE|K - Sololá|Papel mixto |64,Cooperativa Atitlán Recicla,2026,ENE,Lideresas,K - Sololá,K,Papel mixto ,10.38,25,25,259.5,259.5,0,Compras,64
Cooperativa Atitlán Recicla|ENE|K - Sololá|Quintal vidrio VER|65,Cooperativa Atitlán Recicla,2026,ENE,Lideresas,K - Sololá,K,Quintal vidrio VER,9.35,10,10,93.5,93.5,0,Compras,65
Cooperativa Atitlán Recicla|ENE|K - Sololá|Quintal vidrio mixto|66,Cooperativa Atitlán Recicla,2026,ENE,Lideresas,K - Sololá,K,Quintal vidrio mixto,60.75,22,22,1336.5,1336.5,0,Compras,66
Cooperativa Atitlán Recicla|ENE|K - Santa Catarina Palopó|PET transparente|67,Cooperativa Atitlán Recicla,2026,ENE,Lideresas,K - Santa Catarina Palopó,K,PET transparente,0.95,40,40,38,38,0,Compras,67
Cooperativa Atitlán Recicla|ENE|K - Santa Catarina Palopó|PET celeste|68,Cooperativa Atitlán Recicla,2026,ENE,Lideresas,K - Santa Catarina Palopó,K,PET celeste,0.45,20,20,9,9,0,Compras,68
Cooperativa Atitlán Recicla|ENE|K - Santa Catarina Palopó|Plástico soplado (PEAD)|69,Cooperativa Atitlán Recicla,2026,ENE,Lideresas,K - Santa Catarina Palopó,K,Plástico soplado (PEAD),0.38,35,35,13.3,13.3,0,Compras,69
Cooperativa Atitlán Recicla|ENE|K - Santa Catarina Palopó|Cartón |70,Cooperativa Atitlán Recicla,2026,ENE,Lideresas,K - Santa Catarina Palopó,K,Cartón ,1.78,10,10,17.8,17.8,0,Compras,70
Cooperativa Atitlán Recicla|ENE|K - Santa Catarina Palopó|Quintal vidrio VER|71,Cooperativa Atitlán Recicla,2026,ENE,Lideresas,K - Santa Catarina Palopó,K,Quintal vidrio VER,11,10,10,110,110,0,Compras,71
Cooperativa Atitlán Recicla|ENE|K - Santa Catarina Palopó|Quintal vidrio mixto|72,Cooperativa Atitlán Recicla,2026,ENE,Lideresas,K - Santa Catarina Palopó,K,Quintal vidrio mixto,11,22,22,242,242,0,Compras,72
Cooperativa Atitlán Recicla|ENE|ZS - Santiago Atitlán|PET transparente|73,Cooperativa Atitlán Recicla,2026,ENE,Lideresas,ZS - Santiago Atitlán,ZS,PET transparente,3.5,40,40,140,140,0,Compras,73
Cooperativa Atitlán Recicla|ENE|ZS - Santiago Atitlán|Plástico duro (PP)|74,Cooperativa Atitlán Recicla,2026,ENE,Lideresas,ZS - Santiago Atitlán,ZS,Plástico duro (PP),0.37,35,35,12.95,12.95,0,Compras,74
Cooperativa Atitlán Recicla|ENE|ZS - Santiago Atitlán|Plástico soplado (PEAD)|75,Cooperativa Atitlán Recicla,2026,ENE,Lideresas,ZS - Santiago Atitlán,ZS,Plástico soplado (PEAD),1,35,35,35,35,0,Compras,75
Cooperativa Atitlán Recicla|ENE|ZS - Santiago Atitlán|Chatarra 2da. |76,Cooperativa Atitlán Recicla,2026,ENE,Lideresas,ZS - Santiago Atitlán,ZS,Chatarra 2da. ,3.25,20,20,65,65,0,Compras,76
Cooperativa Atitlán Recicla|ENE|ZS - Santiago Atitlán|Aluminio latas|77,Cooperativa Atitlán Recicla,2026,ENE,Lideresas,ZS - Santiago Atitlán,ZS,Aluminio latas,2.4,370,400,888,960,72,Compras,77
Cooperativa Atitlán Recicla|ENE|ZS - Santiago Atitlán|Cartón |78,Cooperativa Atitlán Recicla,2026,ENE,Lideresas,ZS - Santiago Atitlán,ZS,Cartón ,5.08,10,10,50.8,50.8,0,Compras,78
Cooperativa Atitlán Recicla|ENE|ZS - Santiago Atitlán|cartoncillo|79,Cooperativa Atitlán Recicla,2026,ENE,Lideresas,ZS - Santiago Atitlán,ZS,cartoncillo,0.1,5,5,0.5,0.5,0,Compras,79
Cooperativa Atitlán Recicla|ENE|ZS - Santiago Atitlán|Papel mixto |80,Cooperativa Atitlán Recicla,2026,ENE,Lideresas,ZS - Santiago Atitlán,ZS,Papel mixto ,0.8,25,25,20,20,0,Compras,80
Cooperativa Atitlán Recicla|ENE|ZS - Santiago Atitlán|Quintal vidrio VER|81,Cooperativa Atitlán Recicla,2026,ENE,Lideresas,ZS - Santiago Atitlán,ZS,Quintal vidrio VER,20,10,10,200,200,0,Compras,81
Cooperativa Atitlán Recicla|ENE|ZS - Santiago Atitlán|Quintal vidrio mixto|82,Cooperativa Atitlán Recicla,2026,ENE,Lideresas,ZS - Santiago Atitlán,ZS,Quintal vidrio mixto,95,22,22,2090,2090,0,Compras,82
Cooperativa Atitlán Recicla|ENE|ZS - Santiago Atitlán|Quintal vidrio sucio|83,Cooperativa Atitlán Recicla,2026,ENE,Lideresas,ZS - Santiago Atitlán,ZS,Quintal vidrio sucio,25,8,8,200,200,0,Compras,83
Cooperativa Atitlán Recicla|ENE|ZS - San Lucas Tolimán|PET transparente|84,Cooperativa Atitlán Recicla,2026,ENE,Lideresas,ZS - San Lucas Tolimán,ZS,PET transparente,35.45,50,50,1772.5000000000002,1772.5000000000002,0,Compras,84
Cooperativa Atitlán Recicla|ENE|ZS - San Lucas Tolimán|PET celeste|85,Cooperativa Atitlán Recicla,2026,ENE,Lideresas,ZS - San Lucas Tolimán,ZS,PET celeste,2.7,20,20,54,54,0,Compras,85
